subpasta,arquivo,ssim,status
F-RecPlot,F-RecPlot46.png,0.998772678171098,equivalente
F-RecPlot,F-RecPlot47.png,0.9984166170729631,equivalente
F-RecPlot,F-RecPlot48.png,0.9981424306040764,equivalente
F-RecPlot,F-RecPlot49.png,0.9985683436649259,equivalente
F-RecPlot,F-RecPlot5.png,0.998357951629985,equivalente
F-RecPlot,F-RecPlot50.png,0.9981108656687327,equivalente
F-RecPlot,F-RecPlot6.png,0.9984623752383373,equivalente
F-RecPlot,F-RecPlot7.png,0.998286565744746,equivalente
F-RecPlot,F-RecPlot8.png,0.9984077494446059,equivalente
F-RecPlot,F-RecPlot9.png,0.9984386814395537,equivalente
